rank,combo_id,COOLDOWN_S,SAME_LEVEL_POST_WIN_BLOCK_S,SAME_LEVEL_POST_SL_BLOCK_S,MIN_ENTRY_TICKS,MAX_SPREAD,n_trades,n_wins,win_rate,trades_per_day,gross_pnl,net_pnl,avg_hold_s,profit_factor,avg_mfe,avg_mae,max_dd,n_TP,n_BE,n_TRAIL,n_SL
147,255,180,180,900,30,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
148,297,180,60,900,30,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
149,206,180,180,900,30,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
150,246,180,60,900,15,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
151,256,180,180,900,45,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
152,258,180,180,900,90,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
153,22,180,180,900,30,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
154,21,180,60,900,30,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
155,427,180,600,1800,30,1.0000,92,61,0.6630,5.9929,-28.2200,-75.7400,223.8913,0.6826,3.5365,-3.6121,94.2400,0,0,62,30
156,439,180,600,2700,30,3.5000,86,53,0.6163,5.6021,-25.1650,-75.7650,198.0814,0.6844,3.6613,-3.6633,96.0950,0,0,57,29
157,440,180,600,2700,30,5.0000,86,53,0.6163,5.6021,-25.1650,-75.7650,198.0814,0.6844,3.6613,-3.6633,96.0950,0,0,57,29
158,438,180,600,2700,30,3.0000,86,53,0.6163,5.6021,-24.8350,-76.7850,198.1628,0.6801,3.6690,-3.6624,95.9050,0,0,57,29
159,356,180,600,300,90,2.5000,99,61,0.6162,6.4489,-13.2750,-71.7050,207.6061,0.7299,3.7838,-3.6159,102.6850,0,0,66,33
160,71,180,600,300,30,2.5000,99,61,0.6162,6.4489,-13.2750,-71.7050,207.6061,0.7299,3.7838,-3.6159,102.6850,0,0,66,33
161,402,180,600,300,30,2.5000,99,61,0.6162,6.4489,-13.2750,-71.7050,207.6061,0.7299,3.7838,-3.6159,102.6850,0,0,66,33
162,350,180,600,300,10,2.5000,99,61,0.6162,6.4489,-13.2750,-71.7050,207.6061,0.7299,3.7838,-3.6159,102.6850,0,0,66,33
163,351,180,600,300,15,2.5000,99,61,0.6162,6.4489,-13.2750,-71.7050,207.6061,0.7299,3.7838,-3.6159,102.6850,0,0,66,33
164,352,180,600,300,20,2.5000,99,61,0.6162,6.4489,-13.2750,-71.7050,207.6061,0.7299,3.7838,-3.6159,102.6850,0,0,66,33
165,353,180,600,300,30,2.5000,99,61,0.6162,6.4489,-13.2750,-71.7050,207.6061,0.7299,3.7838,-3.6159,102.6850,0,0,66,33
166,218,180,600,300,30,2.5000,99,61,0.6162,6.4489,-13.2750,-71.7050,207.6061,0.7299,3.7838,-3.6159,102.6850,0,0,66,33
167,354,180,600,300,45,2.5000,99,61,0.6162,6.4489,-13.2750,-71.7050,207.6061,0.7299,3.7838,-3.6159,102.6850,0,0,66,33
168,355,180,600,300,60,2.5000,99,61,0.6162,6.4489,-13.2750,-71.7050,207.6061,0.7299,3.7838,-3.6159,102.6850,0,0,66,33
169,308,180,300,900,30,1.0000,98,65,0.6633,6.3838,-28.0700,-78.0100,204.0204,0.6711,3.4370,-3.4902,89.2400,0,0,67,31
