ts,o,h,l,c,spr
1779769080,4538.7100,4539.1935,4538.3150,4538.5750,0.5742
1779769140,4538.5700,4539.0435,4538.2200,4538.6300,0.5585
1779769200,4538.6735,4540.7085,4538.3700,4540.1400,0.5405
1779769260,4540.3500,4542.6000,4540.1350,4542.1700,0.5805
1779769320,4542.2250,4543.8550,4541.8950,4542.3550,0.5522
1779769380,4542.3250,4542.3950,4541.2100,4541.7950,0.5723
1779769440,4541.8550,4542.2650,4541.7750,4542.0700,0.5896
1779769500,4542.0650,4543.2150,4541.7200,4542.9900,0.5693
1779769560,4543.0650,4543.3350,4542.6000,4542.6500,0.5397
1779769620,4542.7150,4542.7150,4541.3550,4541.4700,0.5679
1779769680,4541.4500,4542.6150,4541.3950,4542.5950,0.5573
1779769740,4542.6500,4542.6500,4542.1615,4542.3200,0.6671
1779769800,4542.4085,4542.6600,4541.8700,4542.6600,0.6693
1779769860,4542.6850,4543.6650,4542.5050,4543.3700,0.5402
1779769920,4543.4800,4544.4250,4543.1250,4543.4000,0.5684
1779769980,4543.4200,4543.6050,4542.7750,4543.1100,0.5691
1779770040,4543.0950,4544.5350,4543.0950,4544.5350,0.5505
1779770100,4544.4900,4544.9750,4543.9450,4543.9650,0.5338
1779770160,4543.9500,4545.4200,4543.7050,4545.0000,0.5313
1779770220,4544.9250,4545.5950,4544.8250,4545.2450,0.5450
1779770280,4545.1950,4545.3850,4544.6950,4545.0600,0.5375
1779770340,4545.1285,4545.1300,4543.1750,4543.4600,0.5687
1779770400,4543.4650,4544.1850,4543.4600,4544.1850,0.6081
1779770460,4544.1250,4544.4500,4542.3400,4542.3950,0.6083
1779770520,4542.3300,4542.7600,4541.6600,4541.8050,0.5938
1779770580,4541.8150,4541.8750,4541.3100,4541.4650,0.5922
1779770640,4541.4700,4541.6900,4541.0650,4541.5900,0.6129
1779770700,4541.5350,4542.3200,4540.8450,4542.3200,0.5951
1779770760,4542.3550,4542.3750,4541.6750,4541.9700,0.5814
1779770820,4541.9800,4542.3750,4541.8200,4542.3150,0.5689
1779770880,4542.2900,4542.7050,4542.0050,4542.2450,0.5400
1779770940,4542.0800,4542.2750,4541.9100,4542.0450,0.5221
1779771000,4542.0300,4543.3300,4542.0300,4542.2850,0.5265
1779771060,4542.3600,4542.7500,4542.1250,4542.1550,0.5246
1779771120,4542.1400,4543.8900,4541.7250,4543.8650,0.5221
1779771180,4543.6950,4543.6950,4543.1000,4543.4950,0.5494
1779771240,4543.4050,4543.5550,4542.8200,4542.8300,0.5363
1779771300,4542.8250,4543.2950,4542.3850,4542.6950,0.5413
1779771360,4542.6850,4542.9650,4542.5050,4542.7235,0.5355
1779771420,4542.7185,4543.1435,4542.6235,4542.6285,0.5243
1779771480,4542.6385,4542.6385,4542.2750,4542.3385,0.5256
1779771540,4541.8650,4542.5935,4541.4250,4542.5035,0.5271
1779771600,4542.5250,4542.9585,4542.2700,4542.6900,0.5337
1779771660,4542.6635,4543.0050,4542.3850,4542.9100,0.5175
1779771720,4542.9600,4543.3700,4542.6650,4543.0400,0.5282
1779771780,4543.0900,4543.0900,4541.6600,4541.7800,0.5350
1779771840,4541.7900,4541.7900,4540.6650,4540.6650,0.5299
1779771900,4540.6750,4540.8700,4539.5250,4539.7050,0.5627
1779771960,4539.7250,4540.0150,4539.2150,4539.2150,0.5700
1779772020,4539.2300,4540.1600,4539.2000,4539.6450,0.5422
1779772080,4539.6550,4540.7835,4539.2450,4540.6350,0.5989
1779772140,4540.6800,4540.6800,4539.0900,4539.3200,0.6308
1779772200,4539.3000,4539.9900,4538.2500,4538.5000,0.6247
1779772260,4538.5100,4539.1850,4537.8000,4538.0550,0.6299
1779772320,4538.1185,4538.1185,4536.2500,4536.8500,0.6042
1779772380,4536.8550,4537.4400,4536.3400,4536.6700,0.6246
1779772440,4536.6900,4538.5800,4536.1450,4537.3450,0.6225
1779772500,4537.3650,4538.9200,4537.2400,4537.9700,0.6215
1779772560,4538.0250,4538.0500,4536.5050,4537.9450,0.6147
1779772620,4537.9900,4539.5650,4537.9450,4539.2950,0.5792
1779772680,4539.3500,4539.6050,4538.9300,4538.9800,0.5215
1779772740,4538.9950,4539.3050,4538.0000,4538.1750,0.5319
1779772800,4538.2400,4538.5800,4538.0950,4538.2100,0.5094
1779772860,4538.2200,4538.2550,4537.7750,4537.9800,0.5189
1779772920,4537.9400,4538.0100,4537.6000,4537.8250,0.5230
1779772980,4537.8150,4537.8200,4536.5350,4536.6100,0.5313
1779773040,4536.5950,4536.8250,4535.3500,4535.5400,0.5755
1779773100,4535.4750,4535.4950,4534.2900,4534.8850,0.5131
1779773160,4534.8800,4535.2700,4534.3650,4534.4450,0.5113
1779773220,4534.4200,4535.6400,4534.4200,4535.1400,0.5575
1779773280,4535.1200,4535.1300,4533.7800,4533.9450,0.5153
1779773340,4533.9700,4534.2300,4532.6200,4532.6250,0.5210
1779773400,4532.6100,4533.3100,4530.3000,4531.9900,0.5549
1779773460,4531.9850,4532.2335,4530.3200,4531.1450,0.5302
1779773520,4531.1550,4533.3100,4530.6800,4533.0050,0.5680
1779773580,4532.9950,4533.0150,4531.5350,4531.5800,0.6195
1779773640,4531.5600,4531.6850,4529.7550,4530.3350,0.6066
1779773700,4530.3450,4530.9700,4530.0650,4530.1950,0.6099
1779773760,4530.2050,4530.4650,4528.0350,4528.0600,0.5968
1779773820,4528.0500,4528.0500,4525.9150,4526.1250,0.5944
1779773880,4526.1050,4528.4100,4526.0100,4528.2500,0.5876
1779773940,4528.2700,4528.4800,4527.6550,4527.8550,0.5492
1779774000,4527.8950,4528.8285,4527.5350,4528.7935,0.5369
1779774060,4528.7835,4529.3600,4527.5250,4527.6950,0.5516
1779774120,4527.6550,4527.6900,4525.2950,4526.8850,0.5265
1779774180,4526.8850,4527.0600,4526.6750,4527.0150,0.5190
1779774240,4527.0500,4528.0500,4526.2450,4526.3550,0.5310
1779774300,4526.3250,4526.7900,4524.8600,4526.7750,0.5174
1779774360,4526.7450,4527.1100,4525.2200,4527.0600,0.5349
1779774420,4527.0685,4527.5050,4526.0000,4527.1450,0.5489
1779774480,4526.9550,4527.5550,4526.8200,4526.8200,0.5337
