Omega Sweep Harness S51 X3 -- pairwise 2-factor (490 combos/engine)
ticks: /Users/jo/Tick/duka_ticks/XAUUSD_2024-03_2026-04_combined.csv
n_ticks: 154265439
wall_time: 1235.3s (20.6 min)

========== HBG top-50 by score ==========
combo  min_range max_range sl_frac   tp_rr     trail_frac  trades   wr%  total_pnl   stddev_q      score
329    40.0000   140.0000  300.0000  2.0000    20.0000      6807   0.8     -26.24     4.5717    -4.7091
168    40.0000   88.0000   300.0000  2.0000    20.0000      6807   1.4     -26.01     4.5224    -4.7102
462    40.0000   88.0000   300.0000  2.0000    20.0000      6807   1.4     -26.01     4.5224    -4.7102
413    40.0000   88.0000   300.0000  2.0000    20.0000      6807   1.4     -26.01     4.5224    -4.7102
315    40.0000   88.0000   300.0000  2.0000    20.0000      6807   1.4     -26.01     4.5224    -4.7102
400    40.0000   88.0000   189.0000  2.0000    25.0000      9745   1.5     -37.05     6.8646    -4.7106
301    40.0000   55.0000   300.0000  2.0000    20.0000      6807   2.2     -25.77     4.4698    -4.7121
308    40.0000   70.0000   300.0000  2.0000    20.0000      6807   1.7     -25.92     4.4997    -4.7128
336    40.0000   176.0000  300.0000  2.0000    20.0000      6807   0.6     -26.34     4.5881    -4.7140
91     80.0000   88.0000   150.0000  2.0000    40.0000     13376  16.3     -70.48    13.9302    -4.7210
455    40.0000   88.0000   300.0000  1.5874    20.0000      6870   1.4     -26.24     4.5395    -4.7366
183    63.0000   88.0000   300.0000  2.0000    25.0000      7293   7.2     -38.00     7.0189    -4.7392
420    40.0000   88.0000   378.0000  2.0000    20.0000      5869   1.4     -22.43     3.6968    -4.7749
484    40.0000   88.0000   300.0000  4.0000    25.0000      7034   1.4     -26.92     4.6341    -4.7780
448    40.0000   88.0000   300.0000  1.2599    20.0000      6929   1.4     -26.49     4.5203    -4.7982
441    40.0000   88.0000   300.0000  1.0000    20.0000      6974   1.4     -26.60     4.5247    -4.8153
407    40.0000   88.0000   238.0000  2.0000    25.0000      8437   1.5     -32.17     5.6785    -4.8175
84     63.0000   88.0000   150.0000  2.0000    40.0000     13376   6.9     -70.26    13.5484    -4.8291
477    40.0000   88.0000   300.0000  3.1748    25.0000      7140   1.3     -27.36     4.6624    -4.8313
104    20.0000   88.0000   300.0000  4.0000    40.0000      8202   0.3     -16.11     2.3342    -4.8325
49     20.0000   88.0000   150.0000  2.0000    40.0000     13376   0.4     -26.20     4.4022    -4.8501
394    40.0000   88.0000   150.0000  2.0000    32.0000     12303   1.4     -47.06     8.6989    -4.8523
92     80.0000   88.0000   189.0000  2.0000    40.0000     11559  16.3     -60.84    11.4887    -4.8714
176    50.0000   88.0000   300.0000  2.0000    25.0000      7293   3.0     -33.44     5.8553    -4.8784
162    32.0000   88.0000   300.0000  2.0000    25.0000      7293   0.6     -22.79     3.6691    -4.8801
470    40.0000   88.0000   300.0000  2.5198    25.0000      7215   1.3     -27.62     4.6572    -4.8820
191    80.0000   88.0000   300.0000  2.0000    32.0000      7879  16.1     -41.68     7.5039    -4.9012
103    20.0000   88.0000   300.0000  3.1748    40.0000      8324   0.3     -16.39     2.3414    -4.9047
427    40.0000   88.0000   476.0000  2.0000    20.0000      5076   1.6     -19.25     2.9150    -4.9182
295    40.0000   44.0000   300.0000  2.0000    25.0000      7293   2.7     -27.53     4.5862    -4.9274
55     20.0000   88.0000   600.0000  2.0000    40.0000      5339   0.3     -10.49     1.1297    -4.9277
