event_ts_unix,event_ts_utc,event_utc_weekday,symbol,side,entry_px,tp,sl,verdict,reason
1773737921,"2026-03-17T08:58:41Z","Tue","USOIL.F","SHORT",97.4305,95.9690,97.9177,"BLOCKED","min_breakout_gate"
1773737969,"2026-03-17T08:59:29Z","Tue","ESTX50","LONG",5729.2500,5798.0010,5706.3330,"BLOCKED","vol_gate"
1773737992,"2026-03-17T08:59:52Z","Tue","GOLD.F","LONG",5029.7450,5069.9830,5009.6260,"BLOCKED","can_enter"
1773738057,"2026-03-17T09:00:57Z","Tue","USTEC.F","LONG",24571.4250,24866.2821,24473.1393,"BLOCKED","min_breakout_gate"
1773738098,"2026-03-17T09:01:38Z","Tue","ESTX50","LONG",5736.2000,5805.0344,5713.2552,"BLOCKED","min_breakout_gate"
1773738119,"2026-03-17T09:01:59Z","Tue","USOIL.F","SHORT",97.1055,95.6489,97.5910,"BLOCKED","min_breakout_gate"
1773738246,"2026-03-17T09:04:06Z","Tue","XAGUSD","SHORT",80.8815,80.2344,81.2050,"BLOCKED","min_breakout_gate"
1773738354,"2026-03-17T09:05:54Z","Tue","EURUSD","LONG",1.1515,1.1524,1.1510,"BLOCKED","momentum_gate"
1773738355,"2026-03-17T09:05:55Z","Tue","NAS100","LONG",24556.6500,24851.3298,24458.4234,"BLOCKED","min_breakout_gate"
1773738355,"2026-03-17T09:05:55Z","Tue","ESTX50","LONG",5739.7000,5808.5764,5716.7412,"BLOCKED","min_breakout_gate"
1773738378,"2026-03-17T09:06:18Z","Tue","UK100","SHORT",10347.7000,10223.5276,10389.0908,"BLOCKED","min_breakout_gate"
1773738393,"2026-03-17T09:06:33Z","Tue","GOLD.F","SHORT",5022.8950,4982.7118,5042.9866,"BLOCKED","can_enter"
