entry_ts_unix,entry_ts_utc,entry_utc_weekday,exit_ts_unix,exit_ts_utc,exit_utc_weekday,symbol,side,entry_px,exit_px,tp,sl,pnl,hold_sec,verdict,reason,exit_reason
1773737226,"2026-03-17T08:47:06Z","Tue",1773737315,"2026-03-17T08:48:35Z","Tue","EURUSD","SHORT",1.1509,1.1514,1.1500,1.1514,-46.0370,89,"BLOCKED","momentum_gate","SL_HIT"
1773736831,"2026-03-17T08:40:31Z","Tue",1773737431,"2026-03-17T08:50:31Z","Tue","ESTX50","LONG",5732.8000,5734.2500,5801.5936,5709.8688,1.4500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737005,"2026-03-17T08:43:25Z","Tue",1773737605,"2026-03-17T08:53:25Z","Tue","NAS100","LONG",24560.3000,24528.7500,24855.0236,24462.0588,-31.5500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737012,"2026-03-17T08:43:32Z","Tue",1773737612,"2026-03-17T08:53:32Z","Tue","US500.F","LONG",6681.4950,6672.7450,6761.6729,6654.7690,-8.7500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737018,"2026-03-17T08:43:38Z","Tue",1773737618,"2026-03-17T08:53:38Z","Tue","UK100","LONG",10346.3000,10334.5000,10470.4556,10304.9148,-11.8000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737018,"2026-03-17T08:43:38Z","Tue",1773737618,"2026-03-17T08:53:38Z","Tue","ESTX50","LONG",5739.9500,5723.0500,5808.8294,5716.9902,-16.9000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737025,"2026-03-17T08:43:45Z","Tue",1773737628,"2026-03-17T08:53:48Z","Tue","XAGUSD","SHORT",81.1710,80.7890,80.5216,81.4957,1910.0000,603,"BLOCKED","range_break_gate","TIMEOUT"
1773737086,"2026-03-17T08:44:46Z","Tue",1773737686,"2026-03-17T08:54:46Z","Tue","XAGUSD","SHORT",81.1670,80.8470,80.5177,81.4917,1600.0000,600,"BLOCKED","range_break_gate","TIMEOUT"
1773737114,"2026-03-17T08:45:14Z","Tue",1773737714,"2026-03-17T08:55:14Z","Tue","GOLD.F","SHORT",5025.7450,5028.5450,4985.5390,5045.8480,-280.0000,600,"BLOCKED","can_enter","TIMEOUT"
1773737177,"2026-03-17T08:46:17Z","Tue",1773737778,"2026-03-17T08:56:18Z","Tue","EURUSD","LONG",1.1512,1.1511,1.1521,1.1507,-12.5000,601,"BLOCKED","shouldTrade","TIMEOUT"
1773737196,"2026-03-17T08:46:36Z","Tue",1773737796,"2026-03-17T08:56:36Z","Tue","NAS100","SHORT",24561.4500,24529.1500,24266.7126,24659.6958,32.3000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737217,"2026-03-17T08:46:57Z","Tue",1773737817,"2026-03-17T08:56:57Z","Tue","ESTX50","SHORT",5736.0000,5725.7500,5667.1680,5758.9440,10.2500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737295,"2026-03-17T08:48:15Z","Tue",1773737895,"2026-03-17T08:58:15Z","Tue","NAS100","SHORT",24552.5000,24533.0000,24257.8700,24650.7100,19.5000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737305,"2026-03-17T08:48:25Z","Tue",1773737905,"2026-03-17T08:58:25Z","Tue","USTEC.F","SHORT",24568.4250,24546.6750,24273.6039,24666.6987,21.7500,600,"BLOCKED","range_break_gate","TIMEOUT"
1773737319,"2026-03-17T08:48:39Z","Tue",1773737919,"2026-03-17T08:58:39Z","Tue","ESTX50","LONG",5738.4000,5727.5500,5807.2608,5715.4464,-10.8500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737319,"2026-03-17T08:48:39Z","Tue",1773737919,"2026-03-17T08:58:39Z","Tue","UK100","LONG",10346.7000,10340.2000,10470.8604,10305.3132,-6.5000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737463,"2026-03-17T08:51:03Z","Tue",1773738063,"2026-03-17T09:01:03Z","Tue","XAGUSD","SHORT",80.8920,80.9085,80.2449,81.2156,-82.5000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737473,"2026-03-17T08:51:13Z","Tue",1773738073,"2026-03-17T09:01:13Z","Tue","UK100","SHORT",10337.2500,10348.1000,10213.2030,10378.5990,-10.8500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737475,"2026-03-17T08:51:15Z","Tue",1773738075,"2026-03-17T09:01:15Z","Tue","DJ30.F","SHORT",46823.9500,46847.9500,46262.0626,47011.2458,-24.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737477,"2026-03-17T08:51:17Z","Tue",1773738077,"2026-03-17T09:01:17Z","Tue","US500.F","SHORT",6676.9950,6680.2450,6596.8711,6703.7030,-3.2500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737478,"2026-03-17T08:51:18Z","Tue",1773738078,"2026-03-17T09:01:18Z","Tue","USOIL.F","LONG",97.4855,97.3855,98.9478,96.9981,-100.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737558,"2026-03-17T08:52:38Z","Tue",1773738158,"2026-03-17T09:02:38Z","Tue","USTEC.F","SHORT",24553.9250,24578.2950,24259.2779,24652.1407,-24.3700,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737558,"2026-03-17T08:52:38Z","Tue",1773738158,"2026-03-17T09:02:38Z","Tue","NAS100","SHORT",24538.9000,24563.7500,24244.4332,24637.0556,-24.8500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737714,"2026-03-17T08:55:14Z","Tue",1773738314,"2026-03-17T09:05:14Z","Tue","GOLD.F","LONG",5028.8450,5024.6450,5069.0758,5008.7296,-420.0000,600,"BLOCKED","can_enter","TIMEOUT"
1773737741,"2026-03-17T08:55:41Z","Tue",1773738342,"2026-03-17T09:05:42Z","Tue","EURUSD","SHORT",1.1511,1.1513,1.1502,1.1516,-24.5000,601,"BLOCKED","momentum_gate","TIMEOUT"
1773737767,"2026-03-17T08:56:07Z","Tue",1773738367,"2026-03-17T09:06:07Z","Tue","NAS100","LONG",24537.5000,24553.1500,24831.9500,24439.3500,15.6500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737796,"2026-03-17T08:56:36Z","Tue",1773738396,"2026-03-17T09:06:36Z","Tue","USTEC.F","SHORT",24544.5450,24567.0450,24250.0105,24642.7232,-22.5000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
