ts_unix,symbol,side,engine,entry_px,exit_px,pnl,mfe,mae,hold_sec,exit_reason,spread_at_entry,latency_ms,regime
1776967315,XAUUSD,LONG,HybridBracketGold,4720.52,4720.45,-0.13,0.92,0,1,TRAIL_HIT,0,0,COMPRESSION
1776967506,XAUUSD,SHORT,XAUUSD_BRACKET,4712.02,4715.3,-3.56,1.95,596,323,REGIME_FLIP_EXIT,0.22,0,NEUTRAL
1776967866,XAUUSD,LONG,CandleFlowEngine,4718.33,4719.55,0.47,0.665,0,1,PARTIAL_TP,0.22,0,CANDLE_FLOW
1776967866,XAUUSD,LONG,CandleFlowEngine,4718.33,4718.25,-0.18,0.665,0,5,SL_HIT,0.22,0,CANDLE_FLOW
1776969046,XAUUSD,LONG,CandleFlowEngine,4717.92,4717.33,-0.87,0.2,0,24,IMB_EXIT,0.22,0,CANDLE_FLOW
1776969257,XAUUSD,SHORT,CandleFlowEngine,4719.64,4718.42,0.58,0.665,0,5,PARTIAL_TP,0,0,CANDLE_FLOW
1776969257,XAUUSD,SHORT,CandleFlowEngine,4719.64,4719.47,0.055,0.665,0,22,IMB_EXIT,0,0,CANDLE_FLOW
1776969511,XAUUSD,SHORT,CompBreakout,4716.76,4714.55,1.93,365,0,154,TRAIL_HIT,0.22,0,CBE
1776969904,XAUUSD,LONG,CandleFlowEngine,4711.91,4710.95,-1.24,0.32,0,27,IMB_EXIT,0.22,0,CANDLE_FLOW
1776970180,XAUUSD,LONG,CandleFlowEngine,4706.56,4705.87,-0.75,0.78,0,37,IMB_EXIT,0,0,CANDLE_FLOW
1776970337,XAUUSD,LONG,XAUUSD_BRACKET,4711.82,4705.5,-6.6,0,627,230,SL_HIT,0.22,0,NEUTRAL
