symbol,date,open,high,close,best_pct,intraday_pct,vs_prevclose_pct
GCLWW,2026-05-20,0.0460,0.0460,0.0350,87,0,87
POEL,2026-05-14,102.2000,134.0000,132.0000,87,31,87
AUUD,2026-05-15,2.0900,2.2800,1.9600,87,9,87
QTTB,2026-05-27,9.1700,13.1500,12.8500,85,43,85
BMGL,2026-06-03,0.4280,0.7900,0.6560,85,85,44
ZJYL,2026-06-02,2.8850,4.5000,3.2500,84,56,84
FAC,2026-06-09,20.0000,25.3300,16.0000,84,27,84
PHOE,2026-05-19,12.9000,22.9400,15.7600,84,78,84
RPGL,2026-06-04,3.8300,5.5600,2.9300,83,45,83
GXAI,2026-06-02,2.0100,2.1700,1.3600,82,8,82
ZTG,2026-06-09,2.4300,4.4290,2.4200,82,82,74
RCAX,2026-05-28,10.0000,13.7500,12.4800,82,38,82
TWAV,2026-06-04,2.2400,2.5800,1.6100,82,15,82
LNKS,2026-05-14,1.7600,2.4500,1.6300,81,39,81
MLGO,2026-05-20,3.7900,6.8700,5.3600,81,81,79
PRZO,2026-05-29,0.7000,1.1800,0.9280,81,69,81
VSA,2026-06-02,7.6800,7.7100,4.6300,80,0,80
SNOU,2026-05-28,37.5600,39.2200,37.8600,80,4,80
LHSW,2026-06-08,0.1390,0.2490,0.1390,79,79,75
OCC,2026-06-08,19.6100,22.0000,19.0000,79,12,79
RDGT,2026-06-08,1.4600,2.5200,1.4500,79,73,79
FATN,2026-05-28,5.7000,8.6070,7.6600,79,51,79
WALDW,2026-06-01,0.0640,0.0640,0.0490,78,0,78
PETZ,2026-05-20,1.0700,1.4400,1.1500,78,35,78
HUDI,2026-06-08,1.0150,1.6700,0.8690,78,65,78
VELL,2026-06-11,29.3700,47.0600,44.7800,77,60,77
PBK,2026-06-01,0.9200,1.5300,1.5300,77,66,77
YYGH,2026-06-04,0.1980,0.2600,0.1620,77,31,77
LOBO,2026-06-02,1.2000,1.4800,0.8810,76,23,76
EJH,2026-06-09,1.7450,3.0700,2.0500,76,76,75
LAFAR,2026-05-26,0.0800,0.1400,0.1400,75,75,27
FCHL,2026-05-13,1.8600,2.3200,2.0300,74,25,74
SLE,2026-05-15,6.6600,7.0700,6.0400,74,6,74
WBUY,2026-06-09,0.8600,1.4800,0.9830,72,72,72
JEM,2026-06-10,1.5400,2.6400,1.9300,71,71,71
UMAC,2026-05-28,25.0000,32.0000,29.6000,70,28,70
DLLL,2026-05-29,197.1000,205.3800,199.5100,69,4,69
FGL,2026-05-27,2.7900,3.1800,2.6400,69,14,69
TLSIW,2026-05-14,0.9500,1.2500,0.6220,69,32,69
DOGZ,2026-06-10,0.8884,1.5000,1.2200,69,69,58
FGMCU,2026-06-05,11.6100,19.1000,17.0900,68,65,68
CUPR,2026-05-28,2.2100,3.7000,3.3000,67,67,67
QBTX,2026-05-21,15.0400,19.9400,19.8800,67,33,67
MACIU,2026-06-03,12.0000,20.0000,19.0600,67,67,47
LUCYW,2026-05-18,0.0390,0.0650,0.0510,67,67,8
BESS,2026-06-05,4.5600,5.0800,3.5200,67,11,67
MEI,2026-05-13,9.5700,15.5500,13.8700,66,62,66
NYC,2026-05-12,8.4100,13.9700,8.0500,66,66,0
MRVU,2026-06-02,198.1400,250.4800,249.0200,66,26,66
ANSCU,2026-06-08,12.0000,18.8500,12.2500,66,57,66
JUNS,2026-05-20,0.5130,0.5300,0.2050,66,3,66
TDACU,2026-05-26,10.9900,17.2900,17.2900,66,57,66
MVLL,2026-06-02,150.3400,189.7800,189.4000,65,26,65
MSW,2026-06-10,2.0500,2.1800,1.3500,65,6,65
NVTX,2026-06-03,167.0400,198.8300,166.8800,64,19,64
NAMM,2026-06-01,2.2400,2.4900,2.0800,64,11,64
STLU,2026-05-28,26.0000,29.6000,26.5900,64,14,64
GNS,2026-05-28,0.2630,0.3600,0.2700,64,37,64
OYSER,2026-06-03,0.1680,0.1800,0.1100,64,7,64
ONDG,2026-05-14,5.9700,7.8380,7.2400,64,31,64
OTLK,2026-05-26,0.4650,0.5070,0.4000,64,9,64
OKTG,2026-05-29,19.7100,25.0900,24.6610,63,27,63
RDWU,2026-05-26,34.5600,44.5500,41.4800,63,29,63
ONDU,2026-05-14,9.6400,12.5700,11.6300,63,30,63
ONDL,2026-05-14,16.4800,21.5700,19.9200,63,31,63
NAMI,2026-06-08,0.2560,0.4170,0.2500,63,63,56
MSGY,2026-06-09,0.5720,0.8800,0.5990,63,54,63
SKK,2026-05-15,3.5000,5.5000,4.7700,62,57,62
AIFA,2026-05-22,4.7460,5.9400,3.5310,62,25,62
FUTG,2026-05-22,2.3100,3.7400,3.0800,62,62,-47
DKI,2026-06-09,5.6870,9.1300,5.1800,62,61,62
RGTX,2026-05-21,21.8600,29.1200,29.1000,61,33,61
CAST,2026-06-11,0.6400,0.9500,0.6400,61,48,61
RGTU,2026-05-21,22.1900,29.4500,29.3000,61,33,61
WALD,2026-06-01,1.3800,1.9800,1.8300,61,43,61
ALP,2026-05-14,0.4200,0.4310,0.3300,61,3,61
GEMG,2026-05-15,22.5500,24.0100,16.6720,61,6,61
TNGX,2026-06-08,30.0050,32.5000,30.9300,61,8,61
ARTL,2026-05-26,1.9100,1.9100,1.7100,61,0,61
ZBAO,2026-05-15,0.6300,1.0100,0.7460,60,60,48
ACCL,2026-06-05,1.6100,2.1000,1.5500,60,30,60
VRXA,2026-06-11,18.6500,27.3600,24.7900,60,47,60
ELOG,2026-06-05,0.8510,1.3600,1.2100,60,60,55
TOP,2026-05-18,0.7510,1.2000,1.0700,60,60,47
WHLR,2026-05-21,1.1700,1.4900,1.2900,60,27,60
TMDE,2026-06-11,1.0800,1.4500,1.0800,59,34,59
RNAC,2026-06-09,7.0100,9.3300,6.8500,59,33,59
LOKVU,2026-05-29,12.5100,19.9000,13.5000,59,59,57
GMHS,2026-06-08,1.4750,1.4900,0.9830,59,1,59
ADVB,2026-05-29,3.9100,6.2000,5.0100,59,59,59
APPS,2026-05-27,6.4900,7.6200,6.6800,58,17,58
GPUS,2026-05-15,0.1200,0.1900,0.1500,58,58,46
MBAVU,2026-06-10,11.0000,17.3900,12.4000,58,58,50
SVRN,2026-05-19,5.4860,8.6500,8.2000,58,58,58
FNGR,2026-06-03,0.7000,1.0900,0.8960,58,56,58
ZCMD,2026-06-08,0.8000,1.2600,0.8650,57,57,56
HSPTU,2026-06-01,10.5400,16.5900,12.3000,57,57,41
AAOG,2026-06-01,9.1500,14.4000,13.6600,57,57,41
JYD,2026-06-01,0.6800,1.0700,1.0100,57,57,54
AMPU,2026-05-28,11.4500,16.0300,14.7200,57,40,57
FRSX,2026-06-08,2.3900,2.9500,1.4000,57,23,57
ORIS,2026-05-27,0.4650,0.7200,0.5600,57,55,57
UBXG,2026-06-11,3.3100,5.0700,4.7900,56,53,56
EGHAU,2026-06-08,12.4000,19.0000,13.6700,56,53,56
BQ,2026-06-10,1.1200,1.2900,0.8900,56,15,56
DAIC,2026-06-09,2.8100,3.5200,1.9300,56,25,56
HCAT,2026-06-04,1.7800,2.0700,1.9400,56,16,56
SMCZ,2026-06-10,9.1200,11.4200,11.3900,56,25,56
IPST,2026-05-14,7.2700,9.0000,8.0600,55,24,55
AAOX,2026-06-01,41.6400,64.6000,61.0000,55,55,42
CAPS,2026-05-20,0.4100,0.4800,0.3900,55,17,55
SEATW,2026-05-21,0.0440,0.0680,0.0610,55,55,-3
BUUU,2026-05-29,17.0300,26.0000,19.1900,54,53,54
CCGWW,2026-05-22,0.0130,0.0200,0.0200,54,54,-9
ENHA,2026-06-08,2.6500,3.7800,3.4400,54,43,54
VELO,2026-05-13,16.7400,21.6000,21.0100,54,29,54
USBC,2026-05-12,0.5800,0.8900,0.7000,53,53,0
GTBP,2026-05-14,0.3740,0.4800,0.4390,53,28,53
BSAAU,2026-06-08,11.6100,17.8000,14.0000,53,53,48
YMT,2026-05-18,1.9900,2.8500,2.2020,53,43,53
CYPH,2026-06-08,0.6340,0.7950,0.7080,53,25,53
SKYQ,2026-05-15,2.5200,3.8100,3.0700,53,51,53
FLNC,2026-06-01,23.4200,28.8800,27.1500,53,23,53
RETO,2026-06-10,2.3900,3.5000,2.9600,53,46,53
VIVK,2026-06-09,0.6150,0.9396,0.5535,53,53,49
TRT,2026-05-15,14.9000,21.3800,20.0500,52,43,52
SOWG,2026-06-08,1.3300,1.9200,1.3000,52,44,52
GLGG,2026-06-08,7.6800,10.7690,10.0630,52,40,52
VTIX,2026-05-27,3.5800,4.5600,4.3900,52,27,52
ADTX,2026-06-01,0.1000,0.1520,0.1130,52,52,30
GLXU,2026-06-08,9.0350,12.6000,11.7200,52,39,52
GAUZ,2026-05-12,0.6190,0.9400,0.9250,52,52,0
LGPS,2026-06-04,0.6560,0.8800,0.6350,52,34,52
HKPD,2026-06-10,0.3230,0.4900,0.4500,52,52,47
ILLR,2026-06-08,0.2200,0.3320,0.3300,52,51,52
SNYR,2026-05-28,0.3390,0.3820,0.2780,52,13,52
RYDE,2026-06-04,0.6070,0.9200,0.9200,52,52,16
GENVR,2026-06-01,1.9700,2.7500,2.6900,50,40,50
SDA,2026-06-02,1.0400,1.4800,1.2300,50,42,50
BGM,2026-05-15,0.3030,0.4490,0.3440,50,48,50
BBCP,2026-06-05,11.3100,11.9800,10.4300,50,6,50
HSPT,2026-05-27,10.2000,13.6200,10.0100,50,34,50
SAGT,2026-05-19,0.7400,1.1100,1.0300,50,50,27
RSVRW,2026-05-28,0.1800,0.2100,0.2000,50,17,50
LCCCU,2026-06-08,11.2500,15.8900,11.1100,50,41,50
SXTC,2026-06-11,1.8100,2.6350,2.2600,50,46,50
VSXY,2026-06-02,78.5300,81.2800,80.0600,50,4,50
EOSU,2026-05-13,75.1600,75.1700,53.4200,50,0,50
RITR,2026-06-11,0.5680,0.8500,0.7460,50,50,48
BRIA,2026-06-09,1.0700,1.6000,1.3700,50,50,45
XNDX,2026-05-20,15.3900,21.7800,20.4100,49,42,49
TVGN,2026-05-14,6.5700,9.8000,9.4200,49,49,45
AIFU,2026-05-15,1.6800,2.5000,2.3100,49,49,40
GMEX,2026-06-08,0.8000,1.1900,0.8910,49,49,39
CBRG,2026-06-08,6.2900,8.3800,7.6900,49,33,49
HYLN,2026-05-22,4.2900,6.2400,5.9900,49,45,49
BVC,2026-06-08,7.5300,11.1800,9.2950,48,48,11
FLYT,2026-05-26,40.0100,57.0000,52.8000,48,42,48
LSH,2026-05-29,0.5800,0.8600,0.6700,48,48,47
MWG,2026-06-09,1.1400,1.6900,1.4100,48,48,41
IMCC,2026-05-29,0.2980,0.4350,0.2880,48,46,48
SWMR,2026-06-02,56.3800,83.3000,78.5200,48,48,46
CBRX,2026-06-08,18.2200,24.4400,22.6000,48,34,48
AERT,2026-06-11,4.4288,5.9200,5.2800,48,34,48
QPUX,2026-05-21,31.8000,39.6000,39.6000,48,25,48
BRR,2026-05-28,1.7850,2.3900,2.2800,48,34,48
APLZ,2026-06-09,13.2000,19.4700,16.4400,47,47,13
OCG,2026-05-13,2.3200,2.7400,2.3600,47,18,47
ELMT,2026-06-01,19.0500,22.5000,18.9500,47,18,47
GITS,2026-05-29,1.6700,2.3820,2.1300,47,43,47
BOT,2026-05-14,19.7700,29.0000,27.1000,47,47,38
SEGG,2026-05-15,1.4200,2.0800,1.8700,46,46,38
NAMMW,2026-06-11,0.1420,0.2080,0.2080,46,46,30
GCTS,2026-05-18,2.0600,2.6800,2.5800,46,30,46
AIAI,2026-05-21,19.3000,19.5700,14.5700,46,1,46
NXTS,2026-05-18,4.2700,6.2500,4.9400,46,46,40
LGHL,2026-05-27,0.9870,1.1700,0.9750,46,19,46
TNMG,2026-05-29,0.9000,1.1200,0.6260,46,24,46
ATYR,2026-05-14,0.4170,0.5790,0.5600,46,39,46
ZKIN,2026-06-08,1.3000,1.9000,1.6550,46,46,44
VSEE,2026-05-27,0.1760,0.2440,0.2250,46,39,46
AMPGZ,2026-06-11,2.5000,3.6500,3.0000,46,46,0
SIMAU,2026-06-04,12.2100,17.8200,15.2500,46,46,34
SPCE,2026-05-29,4.8000,6.6100,6.1800,46,38,46
LBGJ,2026-05-14,0.8600,1.1800,0.9890,46,37,46
HIVE,2026-05-18,3.6000,3.9200,3.4600,46,9,46
MSAI,2026-06-03,6.7600,7.9400,5.6000,46,17,46
FJET,2026-05-22,5.2300,7.5000,7.2000,46,43,46
LICN,2026-05-19,3.8400,5.4900,2.8300,46,43,46
APLX,2026-05-21,29.6600,37.6950,36.8700,45,27,45
EGG,2026-06-04,9.0000,13.0700,10.8500,45,45,38
SLND,2026-05-13,1.1300,1.6400,1.2600,45,45,20
ZNB,2026-06-09,1.3400,1.9000,1.2600,45,42,45
FITZ,2026-05-28,25.0300,36.3000,25.3100,45,45,0
SPPL,2026-05-29,2.5600,3.7100,3.5900,45,45,40
AXTX,2026-06-01,32.5000,47.0900,42.4600,45,45,25
POET,2026-05-14,17.4100,20.8100,20.5700,45,20,45
BAYAU,2026-05-26,13.5000,19.5400,18.7400,45,45,40
RVI,2026-05-13,63.5400,77.3900,73.7100,45,22,45
TDTH,2026-06-02,2.8300,3.9350,3.7700,45,39,45
LEGN,2026-06-02,25.3700,36.7000,36.2800,45,45,44
ISPR,2026-05-19,1.5900,2.3000,2.1500,45,45,42
CHSN,2026-06-09,1.3000,1.8800,1.2300,45,45,45
MPAA,2026-06-08,14.0100,15.3000,14.2500,44,9,44
MULL,2026-05-26,552.9000,673.3000,648.7500,44,22,44
MUU,2026-05-26,635.0000,769.9000,740.0000,44,21,44
AXTU,2026-06-01,17.6000,25.3400,23.0200,44,44,25
DTSQU,2026-05-27,11.8100,17.0000,14.7800,44,44,40
INFQ,2026-05-21,13.5000,16.0900,14.7000,44,19,44
QUBX,2026-05-21,14.6600,17.3250,17.2900,44,18,44
LABX,2026-05-19,49.3600,70.8600,65.3000,44,44,38
PLBL,2026-06-10,6.0000,7.5000,6.0800,44,25,44
